C0 (10266 genes)	C1 (10322 genes)
Genes	Genes
TRINITY_DN100000_c0_g1	TRINITY_DN100002_c0_g1
TRINITY_DN100030_c0_g1	TRINITY_DN100019_c0_g1
TRINITY_DN100038_c0_g1	TRINITY_DN100155_c0_g1
TRINITY_DN100097_c0_g1	TRINITY_DN100198_c0_g1
TRINITY_DN100128_c0_g1	TRINITY_DN100200_c0_g1
TRINITY_DN100142_c0_g1	TRINITY_DN100202_c0_g1
TRINITY_DN100145_c0_g1	TRINITY_DN100213_c0_g1
TRINITY_DN100146_c0_g1	TRINITY_DN100226_c0_g1
TRINITY_DN100158_c0_g1	TRINITY_DN10025_c2_g1
TRINITY_DN100177_c0_g1	TRINITY_DN100493_c0_g1
TRINITY_DN100224_c0_g1	TRINITY_DN100509_c0_g1
TRINITY_DN100233_c0_g1	TRINITY_DN100526_c0_g1
TRINITY_DN100297_c0_g1	TRINITY_DN100550_c0_g1
TRINITY_DN100316_c0_g1	TRINITY_DN100667_c0_g1
TRINITY_DN100345_c0_g1	TRINITY_DN100713_c0_g1
TRINITY_DN100415_c0_g1	TRINITY_DN100754_c0_g1
TRINITY_DN100418_c0_g1	TRINITY_DN100766_c0_g1
TRINITY_DN100430_c0_g1	TRINITY_DN100789_c0_g1
TRINITY_DN100444_c0_g1	TRINITY_DN100803_c0_g1
TRINITY_DN100448_c0_g1	TRINITY_DN100829_c0_g1
TRINITY_DN100479_c0_g1	TRINITY_DN100851_c0_g1
TRINITY_DN100490_c0_g1	TRINITY_DN100886_c0_g1
TRINITY_DN100573_c0_g1	TRINITY_DN100903_c0_g1
TRINITY_DN100578_c0_g1	TRINITY_DN100974_c0_g1
TRINITY_DN100599_c0_g1	TRINITY_DN101000_c0_g1
TRINITY_DN1005_c3_g1	TRINITY_DN101022_c0_g1
TRINITY_DN100651_c0_g1	TRINITY_DN101046_c0_g1
TRINITY_DN100653_c0_g1	TRINITY_DN101097_c0_g1
TRINITY_DN100674_c0_g1	TRINITY_DN101116_c0_g1
TRINITY_DN100690_c0_g1	TRINITY_DN101122_c0_g1
TRINITY_DN100702_c0_g1	TRINITY_DN101158_c0_g1
TRINITY_DN100753_c0_g1	TRINITY_DN101202_c0_g1
TRINITY_DN100759_c0_g1	TRINITY_DN101225_c0_g1
TRINITY_DN100765_c0_g1	TRINITY_DN101227_c0_g1
TRINITY_DN100782_c0_g1	TRINITY_DN101270_c0_g1
TRINITY_DN100783_c0_g1	TRINITY_DN101283_c0_g1
TRINITY_DN100807_c0_g1	TRINITY_DN101305_c0_g1
TRINITY_DN100811_c0_g1	TRINITY_DN101308_c0_g1
TRINITY_DN100816_c0_g1	TRINITY_DN101309_c0_g1
TRINITY_DN100818_c0_g1	TRINITY_DN101318_c0_g1
TRINITY_DN100821_c0_g1	TRINITY_DN101352_c0_g1
TRINITY_DN100822_c0_g1	TRINITY_DN101363_c0_g1
TRINITY_DN100857_c0_g1	TRINITY_DN101365_c0_g1
TRINITY_DN100928_c0_g1	TRINITY_DN101378_c0_g1
TRINITY_DN100938_c0_g1	TRINITY_DN101380_c0_g1
TRINITY_DN100985_c0_g1	TRINITY_DN101397_c0_g1
TRINITY_DN101017_c0_g1	TRINITY_DN101399_c0_g1
TRINITY_DN101027_c0_g1	TRINITY_DN101400_c0_g1
TRINITY_DN101043_c0_g1	TRINITY_DN101402_c0_g1
TRINITY_DN101047_c0_g1	TRINITY_DN101419_c0_g1
TRINITY_DN101050_c0_g1	TRINITY_DN101421_c0_g1
TRINITY_DN101073_c0_g1	TRINITY_DN101433_c0_g1
TRINITY_DN101089_c0_g1	TRINITY_DN101435_c0_g1
TRINITY_DN101105_c0_g1	TRINITY_DN101449_c0_g1
TRINITY_DN101152_c0_g1	TRINITY_DN101462_c0_g1
TRINITY_DN101172_c0_g1	TRINITY_DN101474_c0_g1
TRINITY_DN101179_c0_g1	TRINITY_DN101481_c0_g1
TRINITY_DN101197_c0_g1	TRINITY_DN101492_c0_g1
TRINITY_DN101247_c0_g1	TRINITY_DN101528_c0_g1
TRINITY_DN101250_c0_g1	TRINITY_DN101608_c0_g1
TRINITY_DN101254_c0_g1	TRINITY_DN101642_c0_g1
TRINITY_DN101264_c0_g1	TRINITY_DN101645_c0_g1
TRINITY_DN101288_c0_g1	TRINITY_DN101674_c0_g1
TRINITY_DN101293_c0_g1	TRINITY_DN101676_c0_g1
TRINITY_DN101297_c0_g1	TRINITY_DN101688_c0_g1
TRINITY_DN101321_c0_g1	TRINITY_DN101690_c0_g1
TRINITY_DN101335_c0_g1	TRINITY_DN101692_c0_g1
TRINITY_DN101372_c0_g1	TRINITY_DN101706_c0_g1
TRINITY_DN101436_c0_g1	TRINITY_DN101747_c0_g1
TRINITY_DN101495_c0_g1	TRINITY_DN101757_c0_g1
TRINITY_DN101529_c0_g1	TRINITY_DN101776_c0_g1
TRINITY_DN101695_c0_g1	TRINITY_DN101782_c0_g1
TRINITY_DN101728_c0_g1	TRINITY_DN101784_c0_g1
TRINITY_DN101785_c0_g1	TRINITY_DN101788_c0_g1
TRINITY_DN101886_c0_g1	TRINITY_DN101801_c0_g1
TRINITY_DN101919_c0_g1	TRINITY_DN101833_c0_g1
TRINITY_DN101942_c0_g1	TRINITY_DN101837_c0_g1
TRINITY_DN102009_c0_g1	TRINITY_DN101847_c0_g1
TRINITY_DN102022_c0_g1	TRINITY_DN101850_c0_g1
TRINITY_DN102033_c0_g1	TRINITY_DN101852_c0_g1
TRINITY_DN102092_c0_g1	TRINITY_DN101861_c0_g1
TRINITY_DN102141_c0_g1	TRINITY_DN101864_c0_g1
TRINITY_DN102144_c0_g1	TRINITY_DN101893_c0_g1
TRINITY_DN102221_c0_g1	TRINITY_DN101895_c0_g1
TRINITY_DN102296_c0_g1	TRINITY_DN101897_c0_g1
TRINITY_DN102298_c0_g1	TRINITY_DN101899_c0_g1
TRINITY_DN102308_c0_g1	TRINITY_DN101934_c0_g1
TRINITY_DN102322_c0_g1	TRINITY_DN101941_c0_g1
TRINITY_DN102447_c0_g1	TRINITY_DN101948_c0_g1
TRINITY_DN102456_c0_g1	TRINITY_DN101958_c0_g1
TRINITY_DN102481_c0_g1	TRINITY_DN102008_c0_g1
TRINITY_DN102519_c0_g1	TRINITY_DN102017_c0_g1
TRINITY_DN102544_c0_g1	TRINITY_DN102045_c0_g1
TRINITY_DN10259_c1_g1	TRINITY_DN102049_c0_g1
TRINITY_DN102674_c0_g1	TRINITY_DN102090_c0_g1
TRINITY_DN102732_c0_g1	TRINITY_DN102104_c0_g1
TRINITY_DN102756_c0_g1	TRINITY_DN102121_c0_g1
TRINITY_DN102765_c0_g1	TRINITY_DN102122_c0_g1
TRINITY_DN102774_c0_g1	TRINITY_DN102131_c0_g1
TRINITY_DN102791_c0_g1	TRINITY_DN102134_c0_g1
TRINITY_DN102840_c0_g1	TRINITY_DN102185_c0_g1
TRINITY_DN102868_c0_g1	TRINITY_DN102186_c0_g1
TRINITY_DN103022_c0_g1	TRINITY_DN102196_c0_g1
TRINITY_DN103034_c0_g1	TRINITY_DN102279_c0_g1
