Unnamed: 0,CEL_W,FUK_P,FUK_W,KAT_P,KAT_W,KUR_P,NIS_W,ONO_P,logFC,logCPM,PValue,FDR,BLASTX_short,BLASTX_full
TRINITY_DN0_c0_g1,44.951,45.232,36.347,34.946,32.116,43.535,40.48,38.14,-0.0868952059131572,5.35424455611002,0.7175335499625909,1.0,,
TRINITY_DN0_c1_g1,93.631,106.87,111.882,96.81700000000001,112.493,100.20700000000001,97.618,107.072,0.002627388941248,6.74087139629544,0.990388123783174,1.0,,
TRINITY_DN0_c1_g2,7.876,4.7410000000000005,5.345,7.171,3.8539999999999996,6.898,8.842,8.927999999999999,-0.10494501358931,2.81432625009989,0.810434931196527,1.0,,
TRINITY_DN0_c1_g3,5.1080000000000005,7.65,9.306000000000001,3.7689999999999997,2.009,4.8660000000000005,10.145,1.807,0.5540505947249821,2.55958935786866,0.398429098260234,1.0,,
TRINITY_DN0_c2_g1,101.05,109.396,88.115,92.824,119.897,157.149,91.986,163.434,-0.399154134892591,6.901492803935442,0.150746782607801,1.0,,
TRINITY_DN0_c2_g2,1.578,3.1719999999999997,3.424,4.237,0.748,2.577,0.828,0.58,-0.667890286161394,1.2134359892463,0.42795744977590894,1.0,,
TRINITY_DN0_c3_g1,133.481,385.153,292.98,20.081,27.174,237.782,298.81,2.8139999999999996,0.215125842289426,7.50202193352507,0.8497233660093171,1.0,,
TRINITY_DN0_c4_g1,147.436,111.509,105.104,109.915,136.429,223.56599999999997,83.436,160.764,-0.373882701394618,7.12175564380324,0.24804909723243804,1.0,,
TRINITY_DN100002_c0_g1,0.0,0.0,1.581,1.6740000000000002,0.0,0.0,0.0,0.0,-0.0026963954424208693,-0.943027448512083,1.0,1.0,,
TRINITY_DN10000_c0_g1,8.809,9.369,4.322,6.019,2.767,4.115,7.156000000000001,4.709,-0.081834916114577,2.6360996901569904,0.878351894679802,1.0,,
TRINITY_DN100010_c0_g1,0.0,0.0,0.0,0.0,0.0,2.852,0.51,4.272,-3.73186192599098,0.135428439788382,0.20368039478506894,1.0,,
